ProductID, ProductName, ProductBrand, Price, Quantity
1001, Superstar Bold 2, 119.99, Adidas, 0
1002, Old Skool Lite 3, 49.99, Vans, 0
1003, Air Zoom Structure 2, 129.99, Nike, 0
1004, Flyknit Racer, 99.99, Nike, 0
1005, Superstar Foundation, 79.99, Adidas, 0
1006, Old Skool, 44.99, Vans, 0
1007, Air Zoom Pegasus, 109.99, Nike, 0
1008, Stan Smith, 69.99, Adidas, 0
1009, Sk8-Hi MTE, 52.99, Vans, 0
1010, Free RN 2, 89.99, Nike, 0
1011, Yung-1, 99.99, Adidas, 0
1012, Authentic, 39.99, Vans, 0
1013, Air Force 1, 109.99, Nike, 0
1014, Gazelle, 79.99, Adidas, 0
1015, Era, 49.99, Vans, 0
1016, Presto Fly, 89.99, Nike, 0
1017, Superstar Bold, 99.99, Adidas, 0
1018, Old Skool Lite, 39.99, Vans, 0
1019, Air Zoom Structure, 109.99, Nike, 0
1020, Stan Smith Bold, 79.99, Adidas, 0
1021, Sk8-Hi Pro, 59.99, Vans, 0
1022, Free RN Flyknit, 99.99, Nike, 0
1023, Yung-96, 89.99, Adidas, 0
1024, Authentic Lite, 34.99, Vans, 0
1025, Air Max 270, 109.99, Nike, 0
1026, Gazelle Bold, 89.99, Adidas, 0
1027, Era Pro, 54.99, Vans, 0
1028, Presto Fly 2, 99.99, Nike, 0
1029, Superstar Foundation 2, 109.99, Adidas, 0
1030, Old Skool Lite 2, 44.99, Vans, 0
1031, Air Zoom Pegasus 2, 119.99, Nike, 0
1032, Stan Smith Pro, 89.99, Adidas, 0
1033, Sk8-Hi MTE 2, 62.99, Vans, 0
1034, Free RN 3, 109.99, Nike, 0
1035, Yung-1 Pro, 109.99, Adidas, 0
1036, Authentic Pro, 49.99, Vans, 0
1037, Air Force 1 Pro, 129.99, Nike, 0
1038, Gazelle Pro, 99.99, Adidas, 0
1039, Era Pro 2, 59.99, Vans, 0
1040, Era Pro 2, 59.99, Vans, 0
1041, Presto Fly 3, 109.99, Nike, 0
1042, Superstar Bold 2, 119.99, Adidas, 0
1043, Old Skool Lite 3, 49.99, Vans, 0
1044, Air Zoom Structure 2, 129.99, Nike, 0
1045, Stan Smith Bold 2, 99.99, Adidas, 0
1046, Sk8-Hi Pro 2, 69.99, Vans, 0
1047, Air Force 1 Pro 2, 139.99, Nike, 0
1048, Gazelle Pro 2, 109.99, Adidas, 0
1049, Era Pro 3, 64.99, Vans, 0
1050, Presto Fly 4, 119.99, Nike, 0
1051, Superstar Bold 3, 129.99, Adidas, 0
1052, Old Skool Lite 4, 54.99, Vans, 0
1053, Air Zoom Structure 3, 149.99, Nike, 0
1054, Stan Smith Bold 3, 109.99, Adidas, 0
1055, Sk8-Hi Pro 3, 74.99, Vans, 0
1056, Air Force 1 Pro 3, 149.99, Nike, 0
1057, Gazelle Pro 3, 119.99, Adidas, 0
1058, Era Pro 4, 69.99, Vans, 0
1059, Presto Fly 5, 129.99, Nike, 0
1060, Superstar Bold 4, 139.99, Adidas, 0
1061, Old Skool Lite 5, 59.99, Vans, 0
1062, Air Zoom Structure 4, 159.99, Nike, 0
1063, Stan Smith Bold 4, 119.99, Adidas, 0
1064, Sk8-Hi Pro 4, 79.99, Vans, 0
1065, Air Force 1 Pro 4, 159.99, Nike, 0
1066, Gazelle Pro 4, 129.99, Adidas, 0
1067, Era Pro 5, 74.99, Vans, 0
1068, Presto Fly 6, 139.99, Nike, 0
1069, Superstar Bold 5, 149.99, Adidas, 0
1070, Old Skool Lite 6, 64.99, Vans, 0
1071, Air Zoom Structure 5, 169.99, Nike, 0
1072, Stan Smith Bold 5, 129.99, Adidas, 0
1073, Sk8-Hi Pro 5, 84.99, Vans, 0
1074, Air Force 1 Pro 5, 169.99, Nike, 0
1075, Gazelle Pro 5, 139.99, Adidas, 0
1076, Era Pro 6, 79.99, Vans, 0
1077, Presto Fly 7, 149.99, Nike, 0
1078, Superstar Bold 6, 159.99, Adidas, 0
1079, Old Skool Lite 7, 69.99, Vans, 0
1080, Air Zoom Structure 6, 179.99, Nike, 0
1081, Stan Smith Bold 6, 139.99, Adidas, 0
1082, Sk8-Hi Pro 6, 89.99, Vans, 0
1083, Air Force 1 Pro 6, 179.99, Nike, 0
1084, Gazelle Pro 6, 149.99, Adidas, 0
1085, Era Pro 7, 84.99, Vans, 0
1086, Presto Fly 8, 159.99, Nike, 0
1087, Free 7, 149.99, Nike, 0
1088, Rival 7, 139.99, Adidas, 0
1089, Sk8-Hi Pro 7, 92.99, Vans, 0
1090, Air Zoom Pegasus 5, 179.99, Nike, 0
1091, Stan Smith Pro 5, 149.99, Adidas, 0
1092, Old Skool Lite 8, 74.99, Vans, 0
1093, Air Force 1 Pro 7, 189.99, Nike, 0
1094, Gazelle Pro 7, 159.99, Adidas, 0
1095, Era Pro 8, 89.99, Vans, 0
1096, Presto Fly 9, 169.99, Nike, 0
1097, Superstar Pro 5, 169.99, Adidas, 0
1098, Sk8-Hi Pro 8, 95.99, Vans, 0
1099, Air Zoom Structure 7, 189.99, Nike, 0
1100, Stan Smith Pro 6, 159.99, Adidas, 0
1101, Old Skool Lite 9, 79.99, Vans, 0
1102, Air Force 1 Pro 8, 199.99, Nike, 0
1103, Gazelle Pro 8, 169.99, Adidas, 0
1104, Air Max 90, 89.99, Nike, 0
1105, Ultraboost 21, 119.99, Adidas, 0
1106, Classic Slip-On, 34.99, Vans, 0
1107, Chuck Taylor All Star, 29.99, Converse, 0
1108, Old Skool, 45.99, Vans, 0
1109, Gel-Kayano 28, 99.99, ASICS, 0
1110, Fresh Foam 1080, 104.99, New Balance, 0
1111, Air Force 1, 79.99, Nike, 0
1112, Yeezy Boost 350, 179.99, Adidas, 0
1113, Ignite Flash, 39.99, Puma, 0
1114, ZoomX Vaporfly, 189.99, Nike, 0
1115, Cloud X, 112.99, On Running, 0
1116, Adilette Slides, 19.99, Adidas, 0
1117, React Infinity Run, 124.99, Nike, 0
1118, RS-X3 Puzzle, 67.99, Puma, 0
1119, 997H, 59.99, New Balance, 0
1120, Classic Leather, 49.99, Reebok, 0
1121, Legend Essential, 37.99, Nike, 0
1122, Superstar, 74.99, Adidas, 0
1123, Bamba, 12.99, Decathlon, 0
1124, Club C Revenge, 58.99, Reebok, 0
1125, Phantom GX, 99.99, Nike, 0
1126, Floatride Energy, 65.99, Reebok, 0
1127, Speedcross 5, 99.99, Salomon, 0
1128, Grand Court, 42.99, Adidas, 0
